id,value
id_0,25.7392405042
id_1,65.6766283579
id_2,20.2610151078
id_3,28.0437339318
id_4,9.38548404063
id_5,32.8981607901
id_6,42.3078667366
id_7,15.7403162272
id_8,48.6110631857
id_9,33.4004997832
id_10,37.4179851262
id_11,59.2969157073
id_12,34.9255633054
id_13,39.0319215077
id_14,29.045720127
id_15,11.9816035695
id_16,51.5264037077
id_17,21.7909190912
id_18,15.6848085321
id_19,17.4580032597
id_20,16.1485766826
id_21,28.2371296315
id_22,39.0527202569
id_23,8.13452272708
id_24,59.0634552224
id_25,46.0868756128
id_26,26.3718493694
id_27,8.71383439134
id_28,30.8075527726
id_29,35.4054047443
id_30,17.4545544959
id_31,11.4166610103
id_32,17.2474197809
id_33,6.40332931481
id_34,15.4208556126
id_35,44.6225245564
id_36,22.7818721265
id_37,27.7240289945
id_38,10.4985223976
id_39,58.220006405
id_40,46.2953965016
id_41,20.1395325214
id_42,53.7110606512
id_43,18.1278361948
id_44,44.972114294
id_45,50.4612560179
id_46,58.1305628927
id_47,41.4345479687
id_48,55.3638101142
id_49,38.9284015668
id_50,29.3930204445
id_51,23.1700862412
id_52,41.3282066139
id_53,24.7661334956
id_54,38.5487020012
id_55,39.8661097141
id_56,24.3687343871
id_57,21.4253070369
id_58,37.6967647471
id_59,32.3011944251
id_60,11.7029175192
id_61,24.091959998
id_62,30.7759027121
id_63,53.4786645888
id_64,49.801377251
id_65,25.3181220601
id_66,37.2693043991
id_67,52.559817326
id_68,30.1891710929
id_69,36.1919382136
id_70,65.3932897231
id_71,55.3039998236
id_72,43.2799757295
id_73,14.7445206591
id_74,12.6675056165
id_75,35.3447527846
id_76,64.071526602
id_77,1.43033271899
id_78,41.9483080921
id_79,41.2070463997
id_80,8.04884736573
id_81,20.4556407179
id_82,6.50890162924
id_83,31.7977426354
id_84,7.7014036834
id_85,6.13179568232
id_86,16.8330106616
id_87,12.6397173238
id_88,17.3634838181
id_89,22.162492282
id_90,35.8222275864
id_91,12.3494500532
id_92,11.3230424502
id_93,9.35120579443
id_94,37.6808266487
id_95,16.0984629916
id_96,18.6260638536
id_97,10.0017671352
id_98,10.5388939883
id_99,4.04648133343
id_100,10.8180567908
id_101,18.7120699927
id_102,12.3439131366
id_103,9.4868234994
id_104,11.6159240655
id_105,37.7237233106
id_106,24.1941949562
id_107,8.2678746731
id_108,16.397535857
id_109,15.5848834322
id_110,11.6193047478
id_111,15.0182511247
id_112,16.4146009824
id_113,25.3091747807
id_114,20.4776789027
id_115,15.9827608273
id_116,8.16237354374
id_117,44.64044317
id_118,25.4832283574
id_119,0.904198293249
id_120,-0.0819020213166
id_121,9.79942420414
id_122,12.9788523657
id_123,12.6273254625
id_124,7.98759853816
id_125,25.0175189731
id_126,22.6194079975
id_127,9.69482297912
id_128,19.8433653737
id_129,14.176899786
id_130,-0.303093926439
id_131,33.4153289561
id_132,14.5648310631
id_133,20.5142522194
id_134,26.8121761321
id_135,23.8448872735
id_136,9.25128389368
id_137,21.874534478
id_138,79.008591309
id_139,62.4423839904
id_140,26.6058987648
id_141,20.0345658601
id_142,25.3072708569
id_143,7.33618090443
id_144,13.3073728179
id_145,10.2544599097
id_146,18.7593978812
id_147,8.37537914962
id_148,12.66249198
id_149,17.5047551902
id_150,47.3156482095
id_151,20.7365335708
id_152,23.5491391727
id_153,14.7228386593
id_154,14.065731627
id_155,23.353617062
id_156,24.9207887
id_157,36.8885886108
id_158,3.11953219261
id_159,21.4924416741
id_160,42.5186057584
id_161,18.696451282
id_162,61.1328184734
id_163,17.8166253739
id_164,34.006138711
id_165,24.3157020951
id_166,22.1610529279
id_167,1.66776566871
id_168,69.2588533838
id_169,18.3004926581
id_170,16.5901649364
id_171,69.5615136636
id_172,21.2320134809
id_173,2.08327605957
id_174,23.3361419727
id_175,-0.26583328617
id_176,8.9058584828
id_177,17.0545369047
id_178,22.5823348463
id_179,25.1123475534
id_180,42.490168324
id_181,33.4963325561
id_182,29.240145662
id_183,13.5056339428
id_184,7.69568696444
id_185,42.1553537118
id_186,36.6068439642
id_187,35.189153991
id_188,15.2401600866
id_189,24.8177575599
id_190,14.1971808586
id_191,14.1647597519
id_192,30.7239011459
id_193,73.8934298704
id_194,32.6143605647
id_195,11.6451537566
id_196,62.7860234011
id_197,17.5446387016
id_198,20.2231217326
id_199,20.9343876364
id_200,125.040666288
id_201,22.8469777278
id_202,58.9851569941
id_203,3.71649435991
id_204,56.779835521
id_205,35.0647300739
id_206,15.3008131413
id_207,14.4631284793
id_208,62.8366014307
id_209,11.83291384
id_210,38.1340365363
id_211,68.9918857165
id_212,19.4752214661
id_213,111.149629308
id_214,42.2632695403
id_215,75.3198404816
id_216,92.001794352
id_217,69.3894708553
id_218,28.9828112672
id_219,20.2999314944
id_220,29.4499764584
id_221,56.7665956619
id_222,25.9519651499
id_223,40.4182083125
id_224,42.5816450691
id_225,8.99233033512
id_226,7.22043931799
id_227,82.0648391094
id_228,28.8961308726
id_229,2.52971884948
id_230,38.7112381306
id_231,15.6297878908
id_232,22.067939344
id_233,7.92374141783
id_234,13.5717428007
id_235,25.15632125
id_236,14.1698214513
id_237,2.87481072905
id_238,22.9788712151
id_239,13.247591116
